,Description,Price (€),Area (m²),Num. Rooms,Zone,Num. Parkings,Agency,Contact,URL
0,Apartment with 2 bedroom(s) to rent in Luxembourg-Kirchberg,1900.0,100,2, Luxembourg-Kirchberg,1,Logilux Immobilier,tel:26 48 04 22,https://www.wortimmo.lu/en/rent/apartment/centre/luxembourg-kirchberg/wi244332
1,Apartment with 3 bedroom(s) to rent in Luxembourg-Kirchberg,1950.0,110,3, Luxembourg-Kirchberg,1,Mim Feitler Immobilière s.à r.l.,tel:+352 26 38 76 1 ,https://www.wortimmo.lu/en/rent/apartment/centre/luxembourg-kirchberg/wi247556
2,Apartment with 3 bedroom(s) to rent in Luxembourg-Kirchberg,2300.0,83,3, Luxembourg-Kirchberg,1,REMAX Real Estate Solutions,tel:+352 28 84 02,https://www.wortimmo.lu/en/new/apartment/centre/luxembourg-kirchberg/wi247052
3,Apartment with 2 bedroom(s) to rent in Luxembourg-Cents,1950.0,80,2, Luxembourg-Cents,1,Immo Frank,tel:+352 691 19 65 20,https://www.wortimmo.lu/en/rent/apartment/centre/luxembourg-cents/wi246972
4,Apartment with 4 bedroom(s) to rent in Luxembourg-Centre,3600.0,200,4, Luxembourg-Centre,1,Weckbecker S.A.,tel:+352 22 25 92,https://www.wortimmo.lu/en/rent/apartment/centre/luxembourg-centre/wi246651
5,Apartment with 2 bedroom(s) to rent in Luxembourg-Centre,2800.0,80,2, Luxembourg-Centre,0,Eliad Immo,tel:691193947,https://www.wortimmo.lu/en/new/apartment/centre/luxembourg-centre/wi246427
6,Apartment with 2 bedroom(s) to rent in Luxembourg-Centre,2750.0,75,2, Luxembourg-Centre,0,Eliad Immo,tel:691193947,https://www.wortimmo.lu/en/new/apartment/centre/luxembourg-centre/wi246425
7,Apartment with 2 bedroom(s) to rent in Luxembourg-Centre,1800.0,65,2, Luxembourg-Centre,0,DOHEEM IMMO S.A.,tel:+352 26 31 11 19,https://www.wortimmo.lu/en/rent/apartment/centre/luxembourg-centre/wi246402
8,Apartment with 2 bedroom(s) to rent in Luxembourg-Centre,2750.0,84,2, Luxembourg-Centre,1,FMI s.a.,tel:+352 24 83 24-1 ,https://www.wortimmo.lu/en/rent/apartment/centre/luxembourg-centre/wi246092
9,Apartment with 2 bedroom(s) to rent in Luxembourg-Centre,1850.0,100,2, Luxembourg-Centre,1,A propos Immobilier,tel:+352 26 38 37 48,https://www.wortimmo.lu/en/rent/apartment/centre/luxembourg-centre/wi245667
